[0.0, 0.0]
[-0.13555908203125, -0.05160064697265625]
[-0.0715118408203125, -0.01295623779296875]
[-0.0705169677734375, -0.04982452392578125]
[-0.004425048828125, 0.159307861328125]
[-0.039886474609375, 0.267364501953125]
[-0.0113128662109375, 0.419915771484375]
[0.0864013671875, 0.48990020751953123]
[-0.05579833984375, 0.6536880493164062]
[-0.156427001953125, 0.6467376708984375]
[-0.187384033203125, 0.6611221313476563]
[-0.195794677734375, 0.7326812744140625]
[-0.1544403076171875, 0.7230270385742188]
[-0.23973388671875, 0.8613327026367188]
[-0.276019287109375, 0.9324188232421875]
[-0.4289947509765625, 1.02684326171875]
[-0.39141845703125, 1.0277679443359375]
[-0.40152587890625, 1.0416107177734375]
[-0.454278564453125, 1.0804214477539062]
[-0.5131378173828125, 1.1116928100585937]
[-0.6388275146484375, 1.1131439208984375]
[-0.683056640625, 1.2865798950195313]
[-0.6693817138671875, 1.2872589111328125]
[-0.7377410888671875, 1.3623336791992187]
[-0.77685546875, 1.4855972290039063]
[-0.9410980224609375, 1.7522994995117187]
[-1.09266357421875, 1.8099868774414063]
[-1.1760955810546876, 1.8132461547851562]
[-1.2400421142578124, 1.9709152221679687]
[-1.0711456298828126, 1.9901718139648437]
[-1.0361053466796875, 2.124737548828125]
[-1.1390655517578125, 2.328755187988281]
[-1.24332275390625, 2.5392135620117187]
[-1.393115234375, 2.5960601806640624]
[-1.344775390625, 2.8279678344726564]
[-1.3035614013671875, 2.9332351684570312]
[-1.36358642578125, 3.296337890625]
[-1.6067962646484375, 3.474079895019531]
[-1.5733612060546875, 3.7408721923828123]
[-1.67064208984375, 4.044007873535156]
[-1.7395477294921875, 4.342465209960937]
[-1.7231597900390625, 4.624113464355469]
[-1.685406494140625, 4.8574981689453125]
[-1.79014892578125, 5.05777587890625]
[-1.8860748291015625, 5.226560974121094]
[-1.66439208984375, 5.38037109375]
[-1.7837432861328124, 5.662568664550781]
[-1.6658966064453125, 6.006228637695313]
[-1.7281585693359376, 6.223553466796875]
[-1.7835418701171875, 6.419898986816406]
[-1.930047607421875, 6.720951843261719]
[-2.0105743408203125, 6.949102783203125]
