[0. 0.]
[-0.04844971 -0.00140686]
[0.01009216 0.10387878]
[-0.02046509  0.10626068]
[0.1141449  0.16183472]
[0.1074585  0.13851013]
[0.12590332 0.16984863]
[0.12149353 0.22832031]
[0.05857849 0.27886658]
[0.01191406 0.27050018]
[0.07280579 0.23647156]
[0.10236816 0.2311264 ]
[0.04561462 0.23722382]
[0.10130005 0.13948822]
[0.18570862 0.07490387]
[0.06039734 0.1042099 ]
[-0.03209229  0.08562164]
[-0.11460266  0.0450058 ]
[-0.15135193  0.04627686]
[-0.17838135  0.01943207]
[-0.1752655   0.03295746]
[-0.0013031   0.06850586]
[-0.034375    0.10087433]
[-0.09496155  0.20639496]
[-0.07515259  0.04266663]
[-0.06645813  0.08131409]
[-0.08514404  0.10971985]
[-0.08272705  0.10548706]
[0.02019043 0.05739288]
[-0.05671997  0.06994476]
[-0.01575928  0.11439056]
[0.01335754 0.11094666]
[0.02086792 0.16759338]
[0.12919006 0.23943787]
[0.06296387 0.25971527]
[0.06552429 0.28622131]
[0.02081604 0.31837158]
[0.04841309 0.34317627]
[-0.03001099  0.38149109]
[-0.0348175   0.37606201]
[-0.03770142  0.39050598]
[-0.00418396  0.38650665]
[-0.02802429  0.45667419]
[-0.12117004  0.5350296 ]
[0.00816956 0.5106369 ]
[-0.01360168  0.51983337]
[0.12176208 0.54995575]
[0.11000366 0.55913239]
[0.09221497 0.56315765]
[0.06153564 0.55927429]
[0.02872314 0.53360901]
[0.07782898 0.47337799]
[0.10509949 0.46388245]
[0.0481842  0.46940002]
[0.05241394 0.42002563]
[0.07201538 0.40929871]
[0.12223206 0.40894012]
[0.11884155 0.43757782]
[0.12940063 0.47753448]
[0.19885864 0.49091492]
[0.223703   0.51806335]
[0.21587524 0.52641907]
[0.23826294 0.54749908]
[0.14897766 0.6100769 ]
[0.1235321  0.61327667]
[0.23465881 0.62314758]
[0.3260437  0.64360352]
[0.26505432 0.65525055]
[0.28086853 0.61035767]
[0.40698853 0.48484802]
[0.40696411 0.49530182]
[0.40083313 0.50573425]
[0.3531311  0.52852325]
