[0.0, 0.0]
[-0.003582763671875, 0.00353851318359375]
[-0.080126953125, 0.022916412353515624]
[-0.109088134765625, -0.012610626220703126]
[-0.15771484375, 0.0050811767578125]
[-0.1912841796875, 0.0863616943359375]
[-0.165478515625, 0.117169189453125]
[-0.134124755859375, 0.13647689819335937]
[-0.1469146728515625, 0.16734161376953124]
[-0.0857940673828125, 0.15979156494140626]
[-0.1439971923828125, 0.1663818359375]
[-0.20433349609375, 0.2125091552734375]
[-0.1639129638671875, 0.194708251953125]
[-0.1925628662109375, 0.14696807861328126]
[-0.1860076904296875, 0.10714035034179688]
[-0.26717529296875, 0.13118515014648438]
[-0.3544464111328125, 0.11389846801757812]
[-0.332659912109375, 0.1634796142578125]
[-0.2409912109375, 0.15836029052734374]
[-0.248175048828125, 0.13259811401367189]
[-0.25980224609375, 0.15600128173828126]
[-0.266729736328125, 0.19874114990234376]
[-0.3305328369140625, 0.14162521362304686]
[-0.322430419921875, 0.23145904541015624]
[-0.2395050048828125, 0.19129180908203125]
[-0.2067657470703125, 0.196429443359375]
[-0.20653076171875, 0.20185928344726561]
[-0.2065093994140625, 0.20480575561523437]
[-0.1518524169921875, 0.1866119384765625]
[-0.1219329833984375, 0.1940032958984375]
[-0.141729736328125, 0.15690689086914061]
[-0.11409912109375, 0.15301895141601562]
[-0.1268463134765625, 0.1971282958984375]
[-0.2148956298828125, 0.21627655029296874]
[-0.2169921875, 0.2180877685546875]
[-0.2171295166015625, 0.22088699340820311]
[-0.2823150634765625, 0.2682304382324219]
[-0.3452484130859375, 0.268853759765625]
[-0.3691864013671875, 0.27003326416015627]
[-0.2778228759765625, 0.23476104736328124]
[-0.2583831787109375, 0.26915969848632815]
[-0.2564453125, 0.2694732666015625]
[-0.2529327392578125, 0.270709228515625]
[-0.2929718017578125, 0.2628150939941406]
[-0.383984375, 0.2841682434082031]
[-0.3770233154296875, 0.2825325012207031]
[-0.3683990478515625, 0.33286590576171876]
[-0.3629425048828125, 0.3324699401855469]
[-0.3284698486328125, 0.30888214111328127]
[-0.3332763671875, 0.28646011352539064]
[-0.323089599609375, 0.30843429565429686]
[-0.278900146484375, 0.31729812622070314]
[-0.2773162841796875, 0.3108329772949219]
[-0.3498016357421875, 0.3707084655761719]
[-0.3406890869140625, 0.37778396606445314]
[-0.4916351318359375, 0.41400680541992185]
[-0.472259521484375, 0.4044532775878906]
[-0.5352783203125, 0.38704681396484375]
[-0.536279296875, 0.3778251647949219]
[-0.5357452392578125, 0.37529983520507815]
[-0.5098602294921875, 0.3680702209472656]
[-0.5916015625, 0.39653549194335935]
[-0.522882080078125, 0.3982757568359375]
[-0.53570556640625, 0.381353759765625]
[-0.545416259765625, 0.37265701293945314]
[-0.5407623291015625, 0.413885498046875]
[-0.551763916015625, 0.42374267578125]
[-0.5509246826171875, 0.6484329223632812]
[-0.520166015625, 0.6450157165527344]
[-0.564215087890625, 0.7066856384277344]
[-0.603839111328125, 0.8379020690917969]
[-0.55919189453125, 0.9080215454101562]
[-0.66929931640625, 1.0076423645019532]
[-0.6252899169921875, 1.0496849060058593]
[-0.6602386474609375, 1.116326904296875]
[-0.6677032470703125, 1.2130706787109375]
[-0.6169937133789063, 1.3272430419921875]
