                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3277,                 0.7623,                 1.0339,                0.86281,                0.82186,                0.83764,                0.70544,                0.89363,                0.77346,                0.87625,              0.0033332,              0.0033332,              0.0033332
                      2,                 1.3072,                0.74828,                 1.0236,                0.89423,                 0.8301,                0.86914,                0.72306,                0.88894,                0.75771,                 0.8758,              0.0064025,              0.0064025,              0.0064025
                      3,                   1.33,                0.76828,                 1.0302,                0.88393,                0.83488,                0.87362,                0.72726,                0.88602,                0.78439,                0.87347,              0.0092078,              0.0092078,              0.0092078
                      4,                 1.3429,                0.78252,                 1.0346,                0.88383,                0.84475,                0.87234,                0.72555,                0.88448,                0.83211,                0.87306,               0.008812,               0.008812,               0.008812
                      5,                 1.3336,                0.77146,                 1.0311,                0.89029,                0.84446,                0.88046,                0.72944,                0.88467,                0.79536,                0.87231,               0.008812,               0.008812,               0.008812
                      6,                  1.324,                0.76246,                 1.0274,                0.89619,                0.84945,                0.88519,                0.73345,                0.87991,                0.73079,                0.86926,               0.008416,               0.008416,               0.008416
                      7,                 1.3139,                0.75138,                 1.0226,                0.89976,                0.84843,                0.88802,                0.73438,                0.88048,                0.72308,                0.86982,                0.00802,                0.00802,                0.00802
                      8,                 1.3045,                0.74301,                 1.0196,                0.90203,                0.84731,                0.88993,                0.73552,                 0.8794,                0.71094,                0.86907,               0.007624,               0.007624,               0.007624
                      9,                 1.2998,                 0.7354,                 1.0174,                0.89911,                0.84775,                 0.8907,                0.73582,                0.88071,                0.70928,                0.86874,               0.007228,               0.007228,               0.007228
                     10,                 1.2895,                0.72746,                 1.0138,                0.89793,                0.84663,                0.89094,                 0.7363,                0.87937,                0.68114,                 0.8682,               0.006832,               0.006832,               0.006832
                     11,                 1.2832,                0.72239,                  1.012,                0.90081,                0.84712,                0.89189,                0.73647,                0.87825,                0.67604,                0.86808,               0.006436,               0.006436,               0.006436
                     12,                 1.2782,                0.71631,                 1.0094,                0.90351,                0.84714,                0.89249,                0.73736,                0.87701,                0.66853,                0.86785,                0.00604,                0.00604,                0.00604
                     13,                 1.2708,                0.71082,                 1.0076,                0.90836,                0.84671,                0.89306,                0.73788,                0.87603,                0.65995,                0.86767,               0.005644,               0.005644,               0.005644
                     14,                 1.2641,                 0.7036,                 1.0048,                0.91056,                0.84869,                  0.894,                0.73835,                0.87562,                0.65164,                0.86748,               0.005248,               0.005248,               0.005248
                     15,                 1.2591,                0.69858,                  1.003,                0.91248,                0.84897,                0.89469,                0.73907,                0.87499,                0.64637,                0.86721,               0.004852,               0.004852,               0.004852
                     16,                  1.249,                0.69374,                 1.0105,                0.91113,                0.85027,                0.89493,                0.73915,                0.87371,                0.64222,                0.86681,               0.004456,               0.004456,               0.004456
                     17,                 1.2395,                0.68584,                 1.0068,                0.91164,                0.85184,                0.89548,                0.73944,                0.87262,                0.63519,                 0.8665,                0.00406,                0.00406,                0.00406
                     18,                 1.2309,                0.67779,                 1.0037,                0.91183,                0.85347,                0.89582,                0.73979,                0.87168,                0.62974,                0.86595,               0.003664,               0.003664,               0.003664
                     19,                 1.2222,                0.67114,                 1.0009,                0.91152,                  0.856,                 0.8965,                0.74053,                0.87044,                0.62769,                0.86552,               0.003268,               0.003268,               0.003268
                     20,                 1.2123,                 0.6624,                0.99788,                0.91226,                0.85767,                0.89728,                0.74082,                0.86894,                0.62168,                0.86496,               0.002872,               0.002872,               0.002872
                     21,                 1.2048,                0.65633,                0.99413,                0.91434,                0.85754,                0.89761,                0.74159,                0.86833,                0.61683,                0.86467,               0.002476,               0.002476,               0.002476
                     22,                 1.1959,                0.64761,                0.99125,                0.91289,                0.85877,                0.89805,                0.74161,                0.86774,                0.61224,                0.86441,                0.00208,                0.00208,                0.00208
                     23,                 1.1868,                0.64042,                0.98804,                0.91291,                0.85988,                0.89836,                0.74209,                0.86728,                0.60742,                0.86406,               0.001684,               0.001684,               0.001684
                     24,                 1.1786,                0.63308,                0.98579,                0.91289,                0.86094,                 0.8988,                0.74258,                0.86721,                0.60524,                0.86392,               0.001288,               0.001288,               0.001288
                     25,                 1.1688,                0.62557,                0.98218,                0.91325,                0.86104,                0.89918,                0.74305,                0.86734,                0.60399,                0.86376,               0.000892,               0.000892,               0.000892
