epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,348.636,0.97792,1.65193,0.00183,0.88245,0.72573,0.80966,0.67087,0.89547,0.74315,0.00247,0.00995885,0.00331962,0.00995885,0.00331962,0.00995885,0.00331962,0.00995885,0.00331962
2,677.935,0.91568,0.68269,0.00174,0.88986,0.75309,0.85328,0.70297,0.88838,0.67465,0.00246,0.0198601,0.00662002,0.0198601,0.00662002,0.0198601,0.00662002,0.0198601,0.00662002
3,987.051,0.96247,0.67968,0.0018,0.87458,0.77116,0.84413,0.68797,0.9443,0.81056,0.00266,0.0296623,0.00988742,0.0296623,0.00988742,0.0296623,0.00988742,0.0296623,0.00988742
4,1292.22,1.00257,0.69227,0.00191,0.86359,0.78717,0.85727,0.70742,0.9138,0.67401,0.00262,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1595.84,0.94825,0.61735,0.00177,0.9085,0.75822,0.87633,0.71907,0.8883,0.63028,0.0025,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1903.14,0.91783,0.55121,0.00171,0.91828,0.84675,0.91476,0.74121,0.86123,0.5159,0.00242,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2207.55,0.88046,0.5277,0.00173,0.89638,0.85899,0.92132,0.7739,0.83666,0.52366,0.00228,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2514.5,0.8752,0.49018,0.0016,0.9313,0.87878,0.92725,0.78203,0.79856,0.44056,0.00216,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2819.79,0.8557,0.47357,0.00156,0.92184,0.85529,0.9133,0.77582,0.82656,0.48502,0.00223,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,3120.37,0.86263,0.47493,0.00163,0.93695,0.86095,0.93694,0.80106,0.79182,0.45352,0.00213,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,3423.26,0.83822,0.45159,0.00153,0.94548,0.87159,0.94108,0.79689,0.77782,0.41491,0.00211,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,3723.54,0.83566,0.43872,0.00149,0.93936,0.90946,0.94996,0.81536,0.74585,0.37616,0.002,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,4032.39,0.81638,0.41537,0.00143,0.95543,0.89182,0.94558,0.80948,0.75084,0.39143,0.00201,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,4332.71,0.78202,0.39186,0.0014,0.94097,0.91757,0.95408,0.83093,0.73582,0.34812,0.00193,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,4645.32,0.79061,0.38687,0.00142,0.94847,0.89574,0.95188,0.82255,0.72872,0.34791,0.00196,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,4947.26,0.78293,0.37942,0.0014,0.94927,0.89143,0.95339,0.82269,0.73343,0.35263,0.00194,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,5249.11,0.76834,0.37721,0.00141,0.94194,0.93436,0.96143,0.83237,0.72563,0.34461,0.00188,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,5558.43,0.75945,0.37234,0.00139,0.93791,0.91075,0.95528,0.8334,0.6861,0.32543,0.00182,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,5864.17,0.75127,0.3518,0.00128,0.96331,0.90663,0.96138,0.84542,0.68119,0.31949,0.0018,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,6171.51,0.76901,0.36285,0.00142,0.95992,0.90782,0.95662,0.83574,0.68707,0.31238,0.00181,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,6472.8,0.74999,0.34336,0.00135,0.94543,0.91654,0.9595,0.83461,0.68326,0.31906,0.00181,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,6768.36,0.74578,0.3473,0.00134,0.9725,0.92054,0.96345,0.84159,0.67233,0.30034,0.00177,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,7072.15,0.73623,0.33492,0.00132,0.91807,0.91005,0.95477,0.84158,0.66938,0.29719,0.00174,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,7367.97,0.74651,0.33981,0.0013,0.95507,0.92833,0.96645,0.83234,0.68883,0.30797,0.00185,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
